"Original XML Dita File","UUID","Transformed Markdown File"
"marketing-cloud-id-service-master/src-migrate/optin-DTM.xml","7a886bc3-c9e5-4eac-85e8-828a83c847c5","/data/DiscoIQ/projects/Adobe_Self-Service_Collaboration_20180104/content/xml-dita/marketing-cloud-id-service-master/src-migrate/migration-test-20190219/mcvid-implementation-guides/overview/optin-dtm.md"
"marketing-cloud-id-service-master/src-migrate/use-cases.xml","d75a44d5-b713-43d1-b5b6-95d1d0d213a7","/data/DiscoIQ/projects/Adobe_Self-Service_Collaboration_20180104/content/xml-dita/marketing-cloud-id-service-master/src-migrate/migration-test-20190219/mcvid-implementation-guides/overview/use-cases.md"
"marketing-cloud-id-service-master/src-migrate/api.xml","d5023a34-2f3e-464d-b21f-579b2f416ce6","/data/DiscoIQ/projects/Adobe_Self-Service_Collaboration_20180104/content/xml-dita/marketing-cloud-id-service-master/src-migrate/migration-test-20190219/mcvid-implementation-guides/overview/api.md"
"marketing-cloud-id-service-master/src-migrate/iab.xml","8df39d9c-c016-490e-b4db-d02e4044b480","/data/DiscoIQ/projects/Adobe_Self-Service_Collaboration_20180104/content/xml-dita/marketing-cloud-id-service-master/src-migrate/migration-test-20190219/mcvid-implementation-guides/overview/iab.md"
"marketing-cloud-id-service-master/src-migrate/mcvid_library.xml","9663cf9d-64be-4b68-a0e1-c1a1eb70fbd5","/data/DiscoIQ/projects/Adobe_Self-Service_Collaboration_20180104/content/xml-dita/marketing-cloud-id-service-master/src-migrate/migration-test-20190219/mcvid-library/mcvid-library.md"
"marketing-cloud-id-service-master/src-migrate/mcvid-function-vars.xml","2dfe1ed6-f3a6-4f5c-976b-eeb43738c20c","/data/DiscoIQ/projects/Adobe_Self-Service_Collaboration_20180104/content/xml-dita/marketing-cloud-id-service-master/src-migrate/migration-test-20190219/mcvid-library/mcvid-function-vars/mcvid-function-vars.md"
"marketing-cloud-id-service-master/src-migrate/mcvid-subdomain-config.xml","e21cacbf-5151-4d34-b0f7-9e90275f4c7c","/data/DiscoIQ/projects/Adobe_Self-Service_Collaboration_20180104/content/xml-dita/marketing-cloud-id-service-master/src-migrate/migration-test-20190219/mcvid-library/mcvid-function-vars/mcvid-subdomain-config.md"
"marketing-cloud-id-service-master/src-migrate/mcvid-cookiedomain.xml","a57e5477-c07b-4d54-8aea-8e8b152f1423","/data/DiscoIQ/projects/Adobe_Self-Service_Collaboration_20180104/content/xml-dita/marketing-cloud-id-service-master/src-migrate/migration-test-20190219/mcvid-library/mcvid-function-vars/mcvid-cookiedomain.md"
"marketing-cloud-id-service-master/src-migrate/mcvid-cookielifetime.xml","cd945db3-429a-4625-ac3f-69ac259377a3","/data/DiscoIQ/projects/Adobe_Self-Service_Collaboration_20180104/content/xml-dita/marketing-cloud-id-service-master/src-migrate/migration-test-20190219/mcvid-library/mcvid-function-vars/mcvid-cookielifetime.md"
"marketing-cloud-id-service-master/src-migrate/mcvid-disableidsync.xml","8bea1de8-53c8-4a15-bcf5-f0869763a32e","/data/DiscoIQ/projects/Adobe_Self-Service_Collaboration_20180104/content/xml-dita/marketing-cloud-id-service-master/src-migrate/migration-test-20190219/mcvid-library/mcvid-function-vars/mcvid-disableidsync.md"
"marketing-cloud-id-service-master/src-migrate/mcvid-disablethirdpartycalls.xml","e92ce1f5-67a4-476c-9d04-41d4e96b1592","/data/DiscoIQ/projects/Adobe_Self-Service_Collaboration_20180104/content/xml-dita/marketing-cloud-id-service-master/src-migrate/migration-test-20190219/mcvid-library/mcvid-function-vars/mcvid-disablethirdpartycalls.md"
"marketing-cloud-id-service-master/src-migrate/mcvid-disable-cookies.xml","7ed5aa16-44ca-4702-878a-1a208ca95270","/data/DiscoIQ/projects/Adobe_Self-Service_Collaboration_20180104/content/xml-dita/marketing-cloud-id-service-master/src-migrate/migration-test-20190219/mcvid-library/mcvid-function-vars/mcvid-disable-cookies.md"
"marketing-cloud-id-service-master/src-migrate/mcvid-idsyncattachiframeonwindowload.xml","aa2c2fa4-2cab-4e08-8d35-729a6c3e459a","/data/DiscoIQ/projects/Adobe_Self-Service_Collaboration_20180104/content/xml-dita/marketing-cloud-id-service-master/src-migrate/migration-test-20190219/mcvid-library/mcvid-function-vars/mcvid-idsyncattachiframeonwindowload.md"
"marketing-cloud-id-service-master/src-migrate/mcvid-idsyncontainerid.xml","e35dc48b-1aa1-41e3-91c1-ef1e9d2d8b90","/data/DiscoIQ/projects/Adobe_Self-Service_Collaboration_20180104/content/xml-dita/marketing-cloud-id-service-master/src-migrate/migration-test-20190219/mcvid-library/mcvid-function-vars/mcvid-idsyncontainerid.md"
"marketing-cloud-id-service-master/src-migrate/mcvid-idSyncSSLUseAkamai.xml","501ccc37-c3ab-4454-bfcf-3e3c3e8b5ca3","/data/DiscoIQ/projects/Adobe_Self-Service_Collaboration_20180104/content/xml-dita/marketing-cloud-id-service-master/src-migrate/migration-test-20190219/mcvid-library/mcvid-function-vars/mcvid-idsyncssluseakamai.md"
"marketing-cloud-id-service-master/src-migrate/mcvid-coopsafe.xml","4dfa1f35-0a88-48d1-9484-d88cb53ad461","/data/DiscoIQ/projects/Adobe_Self-Service_Collaboration_20180104/content/xml-dita/marketing-cloud-id-service-master/src-migrate/migration-test-20190219/mcvid-library/mcvid-function-vars/mcvid-coopsafe.md"
"marketing-cloud-id-service-master/src-migrate/mcvid-loadtimeout.xml","f627e044-bd73-49a4-8a90-6d19aa566751","/data/DiscoIQ/projects/Adobe_Self-Service_Collaboration_20180104/content/xml-dita/marketing-cloud-id-service-master/src-migrate/migration-test-20190219/mcvid-library/mcvid-function-vars/mcvid-loadtimeout.md"
"marketing-cloud-id-service-master/src-migrate/mcvid-overwrite-visitor-id.xml","8e48127a-ac62-4ea0-9756-2a27b20ecbcf","/data/DiscoIQ/projects/Adobe_Self-Service_Collaboration_20180104/content/xml-dita/marketing-cloud-id-service-master/src-migrate/migration-test-20190219/mcvid-library/mcvid-function-vars/mcvid-overwrite-visitor-id.md"
"marketing-cloud-id-service-master/src-migrate/mcvid-resetbeforeversion.xml","b00d18b8-6720-42f9-9c83-bd306184cc0c","/data/DiscoIQ/projects/Adobe_Self-Service_Collaboration_20180104/content/xml-dita/marketing-cloud-id-service-master/src-migrate/migration-test-20190219/mcvid-library/mcvid-function-vars/mcvid-resetbeforeversion.md"
"marketing-cloud-id-service-master/src-migrate/mcvid-sdidparamexpiry.xml","cdaf7e2d-b196-4c70-936d-8a98191cbb85","/data/DiscoIQ/projects/Adobe_Self-Service_Collaboration_20180104/content/xml-dita/marketing-cloud-id-service-master/src-migrate/migration-test-20190219/mcvid-library/mcvid-function-vars/mcvid-sdidparamexpiry.md"
"marketing-cloud-id-service-master/src-migrate/mcvid-securecookie.xml","995d19f6-9c9d-4493-9c9c-545b0b5696b0","/data/DiscoIQ/projects/Adobe_Self-Service_Collaboration_20180104/content/xml-dita/marketing-cloud-id-service-master/src-migrate/migration-test-20190219/mcvid-library/mcvid-function-vars/mcvid-securecookie.md"
"marketing-cloud-id-service-master/src-migrate/mcvid-use-cors-only.xml","607dc035-dffc-4f4d-be51-08ef6c0a8fad","/data/DiscoIQ/projects/Adobe_Self-Service_Collaboration_20180104/content/xml-dita/marketing-cloud-id-service-master/src-migrate/migration-test-20190219/mcvid-library/mcvid-function-vars/mcvid-use-cors-only.md"
"marketing-cloud-id-service-master/src-migrate/mcvid-whitelistdomain.xml","6b66a4d0-fea2-4d98-963e-0c4f4ab1efb6","/data/DiscoIQ/projects/Adobe_Self-Service_Collaboration_20180104/content/xml-dita/marketing-cloud-id-service-master/src-migrate/migration-test-20190219/mcvid-library/mcvid-function-vars/mcvid-whitelistdomain.md"
"marketing-cloud-id-service-master/src-migrate/mcvid-get-set.xml","184d0a62-0c8d-481b-9afe-b7a67bdafdce","/data/DiscoIQ/projects/Adobe_Self-Service_Collaboration_20180104/content/xml-dita/marketing-cloud-id-service-master/src-migrate/migration-test-20190219/mcvid-library/mcvid-get-set/mcvid-get-set.md"
"marketing-cloud-id-service-master/src-migrate/mcvid-appendsupplementaldataidto.xml","f3504d82-8da3-4971-818b-3df57df4ec2d","/data/DiscoIQ/projects/Adobe_Self-Service_Collaboration_20180104/content/xml-dita/marketing-cloud-id-service-master/src-migrate/migration-test-20190219/mcvid-library/mcvid-get-set/mcvid-appendsupplementaldataidto.md"
"marketing-cloud-id-service-master/src-migrate/mcvid-appendvisitorid.xml","06b453ee-73c5-4625-82d9-877ad2b4f702","/data/DiscoIQ/projects/Adobe_Self-Service_Collaboration_20180104/content/xml-dita/marketing-cloud-id-service-master/src-migrate/migration-test-20190219/mcvid-library/mcvid-get-set/mcvid-appendvisitorid.md"
"marketing-cloud-id-service-master/src-migrate/mcvid-timeout-functions.xml","e5047498-11db-4945-b356-c92b7d447573","/data/DiscoIQ/projects/Adobe_Self-Service_Collaboration_20180104/content/xml-dita/marketing-cloud-id-service-master/src-migrate/migration-test-20190219/mcvid-library/mcvid-get-set/mcvid-timeout-functions.md"
"marketing-cloud-id-service-master/src-migrate/mcvid-idsync.xml","ff83d910-8375-4295-9f2a-e14c15eee09a","/data/DiscoIQ/projects/Adobe_Self-Service_Collaboration_20180104/content/xml-dita/marketing-cloud-id-service-master/src-migrate/migration-test-20190219/mcvid-library/mcvid-get-set/mcvid-idsync.md"
"marketing-cloud-id-service-master/src-migrate/mcvid_getinstance.xml","259b88a6-e3d0-4aab-b935-566099bdab98","/data/DiscoIQ/projects/Adobe_Self-Service_Collaboration_20180104/content/xml-dita/marketing-cloud-id-service-master/src-migrate/migration-test-20190219/mcvid-library/mcvid-get-set/mcvid-getinstance.md"
"marketing-cloud-id-service-master/src-migrate/mcvid_getanalyticsvisitorid.xml","6bb8ddfc-9fc1-4105-b377-d9b4d247a0f8","/data/DiscoIQ/projects/Adobe_Self-Service_Collaboration_20180104/content/xml-dita/marketing-cloud-id-service-master/src-migrate/migration-test-20190219/mcvid-library/mcvid-get-set/mcvid-getanalyticsvisitorid.md"
"marketing-cloud-id-service-master/src-migrate/mcvid_getcustomerids.xml","4eb6ff00-2a92-46b6-b9a6-8e0c6e2e73d1","/data/DiscoIQ/projects/Adobe_Self-Service_Collaboration_20180104/content/xml-dita/marketing-cloud-id-service-master/src-migrate/migration-test-20190219/mcvid-library/mcvid-get-set/mcvid-getcustomerids.md"
"marketing-cloud-id-service-master/src-migrate/mcvid_setcustomerids.xml","4f960f98-cec2-4db6-84ea-0259e2128ea2","/data/DiscoIQ/projects/Adobe_Self-Service_Collaboration_20180104/content/xml-dita/marketing-cloud-id-service-master/src-migrate/migration-test-20190219/mcvid-library/mcvid-get-set/mcvid-setcustomerids.md"
"marketing-cloud-id-service-master/src-migrate/mcvid-getmcvid.xml","93e16220-b5b3-4d81-9189-30031bc15129","/data/DiscoIQ/projects/Adobe_Self-Service_Collaboration_20180104/content/xml-dita/marketing-cloud-id-service-master/src-migrate/migration-test-20190219/mcvid-library/mcvid-get-set/mcvid-getmcvid.md"
"marketing-cloud-id-service-master/src-migrate/mcvid-getlocationhint.xml","cdc312b7-d270-4a5c-a2bb-0fbb37f1e2f4","/data/DiscoIQ/projects/Adobe_Self-Service_Collaboration_20180104/content/xml-dita/marketing-cloud-id-service-master/src-migrate/migration-test-20190219/mcvid-library/mcvid-get-set/mcvid-getlocationhint.md"
"marketing-cloud-id-service-master/src-migrate/mcvid-getvisitorvalues.xml","7fb831b3-cf7e-40e2-a219-07fec28ad49c","/data/DiscoIQ/projects/Adobe_Self-Service_Collaboration_20180104/content/xml-dita/marketing-cloud-id-service-master/src-migrate/migration-test-20190219/mcvid-library/mcvid-get-set/mcvid-getvisitorvalues.md"
"marketing-cloud-id-service-master/src-migrate/mcvid-client-side-id.xml","1c39ac60-1d2b-4ed4-a2ea-30d680e61e10","/data/DiscoIQ/projects/Adobe_Self-Service_Collaboration_20180104/content/xml-dita/marketing-cloud-id-service-master/src-migrate/migration-test-20190219/mcvid-library/mcvid-get-set/mcvid-client-side-id.md"
"marketing-cloud-id-service-master/src-migrate/mcvid-resetstate.xml","ed7be76d-a7ee-4e51-b26c-456ff85fd096","/data/DiscoIQ/projects/Adobe_Self-Service_Collaboration_20180104/content/xml-dita/marketing-cloud-id-service-master/src-migrate/migration-test-20190219/mcvid-library/mcvid-get-set/mcvid-resetstate.md"
"marketing-cloud-id-service-master/src-migrate/mcvid-reference.xml","9e8f50db-1fdf-4fbc-89e5-4431bb6402d5","/data/DiscoIQ/projects/Adobe_Self-Service_Collaboration_20180104/content/xml-dita/marketing-cloud-id-service-master/src-migrate/migration-test-20190219/mcvid-reference/mcvid-reference.md"
"marketing-cloud-id-service-master/src-migrate/mcvid-analytics-reference.xml","215f0394-a436-4f0c-9a52-3b387048e40e","/data/DiscoIQ/projects/Adobe_Self-Service_Collaboration_20180104/content/xml-dita/marketing-cloud-id-service-master/src-migrate/migration-test-20190219/mcvid-reference/mcvid-analytics-reference/mcvid-analytics-reference.md"
"marketing-cloud-id-service-master/src-migrate/mcvid_analytics_ids.xml","421cf597-a3e0-4ca3-8ce8-d0c80cbb6aca","/data/DiscoIQ/projects/Adobe_Self-Service_Collaboration_20180104/content/xml-dita/marketing-cloud-id-service-master/src-migrate/migration-test-20190219/mcvid-reference/mcvid-analytics-reference/mcvid-analytics-ids.md"
"marketing-cloud-id-service-master/src-migrate/mcvid-analytics-order-of-operations.xml","cb1d136e-093f-43b0-a7e1-96f1e61fdad0","/data/DiscoIQ/projects/Adobe_Self-Service_Collaboration_20180104/content/xml-dita/marketing-cloud-id-service-master/src-migrate/migration-test-20190219/mcvid-reference/mcvid-analytics-reference/mcvid-analytics-order-of-operations.md"
"marketing-cloud-id-service-master/src-migrate/mcvid-migration-decisions.xml","ee56b5de-fcf3-4cfb-9e53-762af7c4d2ff","/data/DiscoIQ/projects/Adobe_Self-Service_Collaboration_20180104/content/xml-dita/marketing-cloud-id-service-master/src-migrate/migration-test-20190219/mcvid-reference/mcvid-analytics-reference/mcvid-migration-decisions.md"
"marketing-cloud-id-service-master/src-migrate/mcvid-migration-scenarios.xml","9e229045-6508-48c4-ae39-9537b4941853","/data/DiscoIQ/projects/Adobe_Self-Service_Collaboration_20180104/content/xml-dita/marketing-cloud-id-service-master/src-migrate/migration-test-20190219/mcvid-reference/mcvid-analytics-reference/mcvid-migration-scenarios.md"
"marketing-cloud-id-service-master/src-migrate/mcvid_legacy_analytics.xml","28beed16-7ef9-4824-8e82-853930756eca","/data/DiscoIQ/projects/Adobe_Self-Service_Collaboration_20180104/content/xml-dita/marketing-cloud-id-service-master/src-migrate/migration-test-20190219/mcvid-reference/mcvid-analytics-reference/mcvid-legacy-analytics.md"
"marketing-cloud-id-service-master/src-migrate/mcvid_cname.xml","ba42c822-b677-4139-b1ed-4d98d3320fd0","/data/DiscoIQ/projects/Adobe_Self-Service_Collaboration_20180104/content/xml-dita/marketing-cloud-id-service-master/src-migrate/migration-test-20190219/mcvid-reference/mcvid-analytics-reference/mcvid-cname.md"
"marketing-cloud-id-service-master/src-migrate/mcvid_server_side.xml","256ea0e7-1eb4-4c92-9a7e-f61cb1ed13c7","/data/DiscoIQ/projects/Adobe_Self-Service_Collaboration_20180104/content/xml-dita/marketing-cloud-id-service-master/src-migrate/migration-test-20190219/mcvid-reference/mcvid-analytics-reference/mcvid-server-side.md"
"marketing-cloud-id-service-master/src-migrate/mcvid_grace_period.xml","10a7db7d-de32-4379-914f-edaf929efa32","/data/DiscoIQ/projects/Adobe_Self-Service_Collaboration_20180104/content/xml-dita/marketing-cloud-id-service-master/src-migrate/migration-test-20190219/mcvid-reference/mcvid-analytics-reference/mcvid-grace-period.md"
"marketing-cloud-id-service-master/src-migrate/mcvid-csp.xml","7399edf3-01c1-4730-834e-e2dd2c5791ff","/data/DiscoIQ/projects/Adobe_Self-Service_Collaboration_20180104/content/xml-dita/marketing-cloud-id-service-master/src-migrate/migration-test-20190219/mcvid-reference/mcvid-csp.md"
"marketing-cloud-id-service-master/src-migrate/mcvid_coppa.xml","621b5ebd-92e7-4635-be85-8d7e36589fcb","/data/DiscoIQ/projects/Adobe_Self-Service_Collaboration_20180104/content/xml-dita/marketing-cloud-id-service-master/src-migrate/migration-test-20190219/mcvid-reference/mcvid-coppa.md"
"marketing-cloud-id-service-master/src-migrate/mcvid-cors.xml","e656b573-72a8-4312-a7d5-5cc3818f0a9e","/data/DiscoIQ/projects/Adobe_Self-Service_Collaboration_20180104/content/xml-dita/marketing-cloud-id-service-master/src-migrate/migration-test-20190219/mcvid-reference/mcvid-cors.md"
"marketing-cloud-id-service-master/src-migrate/mcvid-authenticated-state.xml","643df363-224a-463e-a332-be59926b47e7","/data/DiscoIQ/projects/Adobe_Self-Service_Collaboration_20180104/content/xml-dita/marketing-cloud-id-service-master/src-migrate/migration-test-20190219/mcvid-reference/mcvid-authenticated-state.md"
